"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","DE01","DE02","DE03","DE08_01","DE05","DE06","SC01","SC02","SC03","SC04","SC05","SC06_01","SU01_01","SU01_02","SU01_03","SU01_04","SU01_05","SU02_01","SU02_02","SU02_03","SU02_04","SU02_05","SU03_01","SU03_02","SU03_03","SU03_04","SU03_05","SU03_06","SU04_01","SU04_02","SU04_03","SU04_04","SU04_05","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","BF","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF","CG","CH","CI","CJ","CK","CL","CM","CN","CO","CP","CQ","CR","CS","CT","CU","CV","CW","CX","CY","CZ","DA","DB","DC","DD","DE","DF","DG","DH","DI","DJ"
"99","10",,"base","interview","2026-01-16 00:46:44","1","8","4","21","2","1","2","1","1","1","3",,"4","1","1","1","2","4","4","4","4","3","3","2","2","4","3","2","1","1","2","2","1","4","24","20","27","25","24","47","171",,"2026-01-16 00:49:35","complete","1","0","7","7","3","0","1.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101","11",,"base","interview","2026-01-16 01:27:58","1","7","1","28","1","2","2","1","4","1","1","It’d be better if the staff is clear-minded and organized so that they could actually assist students better.","2","3","2","2","2","2","3","4","3","3","3","4","3","3","4","4","4","3","3","4","3","8","41","38","34","31","42","163","222",,"2026-01-16 01:33:55","complete","1","0","7","7","0","0","0.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106","12",,"base","interview","2026-01-16 10:49:50","1","2","1","25","2","2","2","1","4","1","1","Not bad :)","3","3","4","3","4","4","2","4","4","2","4","4","4","4","4","4","3","3","3","3","4","17","43","89","22","35","27","67","233",,"2026-01-16 10:54:50","complete","1","0","7","7","0","0","0.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109","13",,"base","interview","2026-01-16 11:24:49","1","3","1","21","2","1","2","1","4","1","1",,"4","3","3","5","4","4","3","5","5","4","4","4","2","4","2","2","3","3","2","2","1","5","56","44","44","28","36","26","239",,"2026-01-16 11:28:48","complete","1","0","7","7","3","0","0.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"116","14",,"base","interview","2026-01-16 17:47:41","1","2","1","21","1","2","2","1","4","1","1",,"1","1","1","1","1","3","3","1","3","3","3","3","1","2","2","3","2","1","1","1","1","6","12","20","18","9","18","22","105",,"2026-01-16 17:49:26","complete","1","0","7","7","3","0","1.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"132","15",,"base","interview","2026-01-17 00:47:01","1","1","1","24","2","2","2","1","4","1","1",,"3","3","3","3","3","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","19","46","29","26","24","50","52","246",,"2026-01-17 00:51:08","complete","1","0","7","7","3","0","0.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"133","16",,"base","interview","2026-01-17 08:19:07","1","1","1","18","2","2","2","1","4","1","1",,"2","4","3","2","3","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","3","51","10","23","28","21","28","164",,"2026-01-17 08:21:51","complete","1","0","7","7","3","0","1.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"135","17",,"base","interview","2026-01-17 10:35:02","1","2","1","24","2","2","2","1","4","1","1",,"3","4","3","4","4","4","4","4","4","2","3","2","3","4","4","2","3","2","3","2","3","23","38","33","65","22","53","53","287",,"2026-01-17 10:39:49","complete","1","0","7","7","3","0","0.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"136","18",,"base","interview","2026-01-17 15:54:40","1","2","1","28","2","2","2","1","4","1","1",,"4","2","3","4","4","2","1","4","4","3","3","1","1","1","2","3","3","2","2","3","2","4","34","23","25","17","25","24","152",,"2026-01-17 15:57:12","complete","1","0","7","7","3","0","1.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140","19",,"base","interview","2026-01-19 12:14:17","1","6","1","25","2","1","2","1","4","1","1",,"2","2","1","3","4","3","4","2","2","1","4","3","2","2","4","3","3","1","1","1","2","22","35","36","42","33","34","42","244",,"2026-01-19 12:18:21","complete","1","0","7","7","3","0","0.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"143","20",,"base","interview","2026-01-19 12:38:16","1","3","1","21","2","1","2","1","4","1","1","i think sometimes people ""demonize"" the university more than what is fair.","4","3","5","4","4","3","3","4","4","3","4","4","3","4","4","4","4","3","3","3","4","24","71","53","61","33","113","165","296",,"2026-01-19 12:46:56","complete","1","0","7","7","0","0","0.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"145","21",,"base","interview","2026-01-19 15:48:08","1","3","1","23","2","2","2","1","4","1","1",,"3","2","4","1","2","4","1","4","4","4","5","4","5","4","4","3","4","3","3","4","4","3","26","22","32","16","14","16","129",,"2026-01-19 15:50:17","complete","1","0","7","7","3","0","1.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"147","22",,"base","interview","2026-01-19 15:55:24","1","7","1","22","1","3","2","1","4","1","1","Is the administration is horrible the management is horrible. The language center is horrible. There is no accessible German course as promised there is no purpose of studying languages at all because it doesn't give any single paper. All the administrative questions are being ignored for three months and sometimes even more and then managers dare to throw me a reply that I didn't reach out to them on time, which is outrageous. Only good thing is a perfectly polite manager at the examination office. Another aspect is gear for advertising program. There is no proper sources. For instance, there is no AI access at all. All the illustrators, and photographers: they have proper gear. Meanwhile, advertisers are forced to create content out of nothing and they have no services at all. Another topic is library: writing scientific papers or academic outlines or researches. There is no sources at all. University doesn't provide any sources to scientific papers to documents to different portals. For instance statista premium access, business papers, analytical sources, etc, and the university does not pay for any of them even if you ask that you need it. the only saving boat for this university is my professor of advertising. Other than that that would be a completely horrible experience. He's not just covers for all university and all the teachers, but he also covers a lot of administrative questions and he helps as much as he can otherwise that the administration is horrible and I would give it zero out of 10.","2","2","2","1","1","2","2","5","4","1","4","4","3","4","5","3","3","1","2","2","3","51","28","33","30","25","34","448","185",,"2026-01-19 16:06:13","complete","1","0","7","7","0","0","0.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"151","23",,"base","interview","2026-01-19 19:31:09","1","2","1","21","2","2","2","1","1","1","1",,"4","3","4","4","4","5","5","5","4","3","4","4","4","5","4","4","4","4","4","4","4","3","201","51","69","185","92","95","226",,"2026-01-19 19:42:46","complete","1","0","7","7","3","0","0.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"158","24",,"base","interview","2026-01-20 16:59:29","2","8","1","28","2","2","2","1","4","1","1",,"5","5","5","5","5","4","3","3","4","3","4","5","4","4","4","4","4","4","5","4","4","8","16","24","22","20","25","35","150",,"2026-01-20 17:01:59","complete","1","0","7","7","3","0","1.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"159","25",,"base","interview","2026-01-20 17:05:06","1","1","1","22","1","2","2","1","4","1","1",,"4","4","5","2","4","4","4","5","2","4","5","5","5","5","5","5","5","5","5","5","5","45","64","44","38","21","26","83","266",,"2026-01-20 17:10:27","complete","1","0","7","7","3","0","0.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"162","26",,"base","interview","2026-01-21 11:40:45","1","2","1","23","2","2","2","1","4","1","1",,"2","3","3","2","4","4","4","4","5","3","3","3","3","4","5","5","3","2","2","2","3","62","60","29","42","34","32","33","237",,"2026-01-21 11:45:37","complete","1","0","7","7","3","0","0.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"163","27",,"base","interview","2026-01-21 13:40:24","1","1","1","20","2","2","2","1","4","1","1",,"4","3","4","3","4","4","3","3","4","4","4","3","3","4","4","3","4","4","4","4","4","5","22","24","34","11","25","29","150",,"2026-01-21 13:42:54","complete","1","0","7","7","3","0","1.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"164","28",,"base","interview","2026-01-21 13:42:58","1","2","1","23","1","1","2","1","4","1","2",,"3","2","3","2","3","3","2","2","3","2","4","3","3","3","4","2","3","3","3","3","3","6","59","23","16","8","26","29","167",,"2026-01-21 13:45:45","complete","1","0","7","7","3","0","1.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"166","29",,"base","interview","2026-01-21 13:47:34","1","3","1","22","2","1","2","1","1","1","3",,"2","2","3","2","2","3","2","2","3","3","3","2","2","3","3","2","2","2","3","2","3","3","18","8","16","9","32","22","108",,"2026-01-21 13:49:22","complete","1","0","7","7","3","0","1.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"183","30",,"base","interview","2026-01-22 04:50:39","2","1","1","24","2","3","2","1","1","1","1",,"4","2","5","3","5","4","5","3","4","3","4","5","4","5","4","4","3","3","4","3","5","22","7","14","62","7","26","14","152",,"2026-01-22 04:53:12","complete","1","0","7","7","3","0","1.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"193","31",,"base","interview","2026-01-22 10:49:11","1","6","1","22","1","2","2","1","4","1","1",,"4","4","2","1","4","5","5","5","5","3","4","3","3","3","4","2","2","2","2","2","4","7","28","19","27","18","24","29","152",,"2026-01-22 10:51:43","complete","1","0","7","7","3","0","1.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"197","32",,"base","interview","2026-01-22 13:39:39","1","2","1","23","2","2","2","1","4","1","1",,"2","2","2","3","3","4","4","4","4","3","3","2","2","2","3","2","1","1","1","1","3","13","75","30","88","98","52","31","246",,"2026-01-22 13:46:06","complete","1","0","7","7","3","0","0.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"198","33",,"base","interview","2026-01-22 13:39:50","1","3","1","21","2","2","2","1","4","1","1",,"2","1","2","3","3","4","4","4","4","3","4","3","2","3","2","4","4","2","2","3","3","3","97","98","64","92","40","40","286",,"2026-01-22 13:47:04","complete","1","0","7","7","3","0","0.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"201","34",,"base","interview","2026-01-22 14:02:47","1","2","1","27","2","2","2","1","4","1","1",,"3","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","49","6","8","6","42","24","138",,"2026-01-22 14:05:05","complete","1","0","7","7","3","0","1.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"206","35",,"base","interview","2026-01-22 16:07:14","1","3","1","21","1","1","2","1","4","1","1",,"2","2","1","4","3","4","2","4","3","3","4","4","2","2","4","1","3","2","2","3","3","8","76","39","26","24","31","36","240",,"2026-01-22 16:11:14","complete","1","0","7","7","3","0","0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"208","36",,"base","interview","2026-01-22 16:08:28","1","3","1","21","2","1","2","1","1","1","1",,"1","1","1","3","2","4","2","4","4","1","3","4","3","2","1","2","2","1","1","1","2","5","49","33","33","28","30","40","218",,"2026-01-22 16:12:06","complete","1","0","7","7","3","0","0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"210","37",,"base","interview","2026-01-22 16:17:26","2","2","1","25","2","2","2","1","4","1","1",,"3","3","2","2","3","1","1","3","2","1","3","3","2","1","3","3","3","1","3","1","3","5","30","18","27","30","34","24","168",,"2026-01-22 16:20:14","complete","1","0","7","7","3","0","1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213","38",,"base","interview","2026-01-22 16:32:35","2","1","1","29","2","2","2","1","4","1","1",,"4","4","4","4","4","4","3","4","4","4","4","4","3","3","4","5","4","4","4","4","4","4","22","26","31","14","19","18","134",,"2026-01-22 16:34:49","complete","1","0","7","7","3","0","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"218","39",,"base","interview","2026-01-22 19:37:21","2","1","1","24","1","2","2","1","4","1","1",,"4","3","4","3","3","4","4","5","4","5","2","3","1","4","5","4","2","1","2","2","2","10","44","182","23","33","37","33","202",,"2026-01-22 19:43:23","complete","1","0","7","7","3","0","0.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"219","40",,"base","interview","2026-01-22 20:05:54","1","3","1","22","2","1","2","1","4","1","1",,"4","5","4","5","5","4","2","5","2","4","5","4","5","5","1","2","4","4","5","5","4","7","46","53","46","24","42","25","243",,"2026-01-22 20:09:57","complete","1","0","7","7","3","0","0.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"228","41",,"base","interview","2026-01-24 15:37:51","1","2","1","21","2","1","2","1","4","1","1",,"5","4","4","5","4","4","4","3","5","4","5","4","5","4","3","5","4","4","5","4","5","125","179","8","5","127","8","77","154",,"2026-01-24 15:46:40","complete","1","0","7","7","3","0","1.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"229","42",,"base","interview","2026-01-24 15:44:24","1","2","1","23","7","3","2","1","4","1","1",,"2","3","2","2","1","4","2","5","4","2","5","4","4","4","3","3","4","3","3","3","3","18","76","70","19","15","21","13","232",,"2026-01-24 15:48:16","complete","1","0","7","7","3","0","1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
